borough_code,borough_name,value_2001,value_2017,category,pct_change
E09000011,Greenwich,35.0,115.0,unlicensed_food_workplaces,2.2857142857142856
E09000014,Haringey,60.0,190.0,unlicensed_food_workplaces,2.1666666666666665
E09000006,Bromley,50.0,150.0,unlicensed_food_workplaces,2.0
E09000010,Enfield,50.0,150.0,unlicensed_food_workplaces,2.0
E09000004,Bexley,30.0,85.0,unlicensed_food_workplaces,1.8333333333333333
E09000005,Brent,60.0,170.0,unlicensed_food_workplaces,1.8333333333333333
E09000008,Croydon,65.0,180.0,unlicensed_food_workplaces,1.7692307692307692
E09000018,Hounslow,50.0,135.0,unlicensed_food_workplaces,1.7
E09000021,Kingston upon Thames,40.0,105.0,unlicensed_food_workplaces,1.625
E09000002,Barking and Dagenham,25.0,65.0,unlicensed_food_workplaces,1.6
E09000009,Ealing,75.0,195.0,unlicensed_food_workplaces,1.6
E09000022,Lambeth,85.0,220.0,unlicensed_food_workplaces,1.588235294117647
E09000015,Harrow,45.0,115.0,unlicensed_food_workplaces,1.5555555555555556
E09000027,Richmond upon Thames,50.0,125.0,unlicensed_food_workplaces,1.5
E09000013,Hammersmith and Fulham,70.0,165.0,unlicensed_food_workplaces,1.3571428571428572
E09000028,Southwark,90.0,205.0,unlicensed_food_workplaces,1.2777777777777777
E09000032,Wandsworth,85.0,190.0,unlicensed_food_workplaces,1.2352941176470589
E09000007,Camden,190.0,370.0,unlicensed_food_workplaces,0.9473684210526315
E09000033,Westminster,300.0,545.0,unlicensed_food_workplaces,0.8166666666666667
E09000003,Barnet,130.0,215.0,unlicensed_food_workplaces,0.6538461538461539
E09000020,Kensington and Chelsea,95.0,145.0,unlicensed_food_workplaces,0.5263157894736842
E09000019,Islington,140.0,205.0,unlicensed_food_workplaces,0.4642857142857143
